"lat"	"long"	"mean(CPUE)"
37.45264	-121.96597	0.15
37.453811	-121.973978	0.2
37.4557	-122.02489	0.6
37.46024	-121.97658	0.45
37.46041	-121.98019	0.35
37.46141	-121.95162	0.4
37.46186	-122.03674	0.566666666666667
37.46187	-121.97608	1.2
37.46221	-121.98104	0.25
37.4625	-121.95947	0.2
37.46251	-121.9525	0.3
37.46289	-121.93987	0.4
37.46358	-121.96486	0.933333333333333
37.46411	-121.9462	0.233333333333333
37.465906	-121.9751444	0.3
37.46601	-121.98274	3.15
37.467198	-121.951484	0.6
38.043654	-121.911285	0.0585666293393057
38.14198	-122.52125	0.3
38.16699	-122.53321	0.1
38.18334	-122.54273	0.1
38.189833	-122.3426	0.2
38.194433	-122.547383	0.1
38.203667	-122.568217	0.1
38.227792	-122.612553	0.1
38.29662	-122.28218	0.1
