"tribmarsh"	"sum(vol)"	"sum(corcatch)"	"cpue"
"Delta"	445619.165925	14	0.314169610971272
"Napa River"	200316.786643	2129	106.281656953406
"San Pablo Bay"	257618.51868	2800	108.687838682824
"Suisun Bay"	206481.445035	179	8.66905982615815
"Alviso Slough"	17100.04972	9	5.26314259161113
"Central San Francisco Bay"	40064.48342	4	0.998390509136883
"Coyote Creek"	18872.23234	157	83.1910063269177
"Gallinas"	9789.41106	22	22.473262043202
"Lower South Bay"	14674.56328	29	19.7620872571548
"Petaluma River"	105255.52778	93	8.83564046102967
"Sonoma River"	82486.54544	35	4.24311623347819
